,標題,版主,日期,時間,觀看數,留言
42,【討論】《示天龍劍》巫師職業相關討論串,S07255,10/04,16:09,4649,5
43,【問題】次元石鍍過的卡能夠分解嗎?,Aa28412230,10/03,12:21,4883,11
44,【閒聊】SVF OP2,asd912044,10/02,16:25,4308,18
45,【問題】引繼時出現的問題,EDC0849,10/02,10:27,605,4
46,【攻略】【我ㄉ腦花30塊】『闇影詩章F』合作 盤面解謎影片攻略（附時間軸）1/10更新超級,Vice1412,10/01,11:54,5309,3
47,【曬卡】第26彈卡包《示天龍劍》 卡包分享串,asdv45679,10/01,06:48,2805,20
48,【閒聊】什麼!不會算術的死靈法師也能在垃圾堆中玩連擊拉緹卡!!,eile317301,09/30,21:42,2677,6
49,【問題】請問如何打控妖?,ya0110115,09/30,19:52,1720,9
50,【問題】一次買十包開會比較容易中嗎?,A0935861377,09/30,18:32,3167,12
51,【閒聊】七個美德,A0935861377,09/30,18:24,5030,25
52,【攻略】【攻略】「闇影詩章F」Quest對戰三任務示範,SuperGamer,09/30,13:50,1434,1
53,【繪圖】敗北 雪華,RAISER15285,09/30,12:00,7133,22
54,【示天龍劍】來放鬆心情一下 教各位如何把老婆的珍藏卡變成你的手機桌布,poinddt,09/29,23:18,31k,41
55,【攻略】「闇影詩章F」Quest解謎示範 新增超級示範,mapleprime,09/29,13:53,3562,6
56,【討論】關於有要購買水晶的人可以注意一下價格,jeff60316377,09/28,21:16,3241,19
57,"【情報】自辦比賽""第一屆姆姆盃新包交流賽"" 現正報名中!",zomrence,09/28,19:17,789,7
58,首篇已刪,hayashitn,09/28,13:37,5109,41
59,【問題】8721分被歸0,poillookk,09/28,12:33,4179,11
60,【閒聊】主戰者造型整理(1F按職業：2、3F按分類)_9/27更新,david199444,09/27,19:59,34k,19
61,【情報】那三包會隨者最新的卡變化,kkoo3123,09/27,18:57,2986,2
62,本討論串已無文章,Calvinsu1114,09/27,16:05,265,1
63,【閒聊】闇影詩章F 25也太好看了吧,GETYOU0707,09/27,13:00,6509,69
64,【討論】SP大賽討論,Zafkiel,09/26,18:12,14k,87
65,本討論串已無文章,qwe50188,09/26,14:30,37,0
66,首篇已刪,hayashitn,09/26,09:33,902,6
67,【情報】第九季通行證,Aa28412230,09/25,15:13,6156,14
68,【密技】連擊自然選牌指南,A0935861377,09/22,06:02,2563,13
69,【情報】語風薯薯自辦「大佬盃」交流賽開放報名囉！有水晶跟禮品卡可拿，2022/9/23 21:00開戰！,b24951402,09/21,17:46,2004,0
70,【問題】想請問各位都去哪裡看影之詩F的,hayashitn,09/20,22:38,4296,17
71,【問題】國際服有這些活動嗎,outoo58487,09/20,16:32,10k,33
72,首篇已刪,hayashitn,09/18,17:39,2602,15
73,【攻略】教各位怎麼用死靈5勝(X,S36137193,09/18,15:57,3090,3
74,【討論】怎麼辦，打不贏烏薩奇,balldandyjr2,09/18,01:44,5472,27
75,【問題】手機上檔案容量今天變成6.4g?,nhktt,09/17,15:39,1653,6
76,【討論】關於穩定爬分,a1710,09/17,13:17,3312,36
77,【討論】峰頂教崛起可能？（可參考2F的 便宜又好用）,taylorlover,09/16,18:34,4665,43
78,【討論】《極天龍鳴》【主教】職業相關討論串,MrWingdreams,09/16,16:50,13k,23
79,【討論】【討論】《極天龍鳴》【吸血鬼】職業相關討論串,MrWingdreams,09/16,16:38,8594,11
80,【討論】【討論】《極天龍鳴》【精靈】職業相關討論串,tmpss90276,09/16,13:39,14k,22
81,本討論串已無文章,gk9841215,09/16,00:45,570,12
82,【討論】現在的連擊妖精需要的東西,hank1010307,09/15,20:03,3353,170
83,【攻略】羽翼破碎，樂園墜落 ── RGW共鳴人偶仇,IANfan891112,09/15,00:22,2195,12
84,【問題】被護符教6回合特殊勝利,d01255210,09/14,17:45,8938,52
85,【閒聊】馬納利亞直傷法還玩的起來嗎,kagerou0127,09/14,00:51,2868,9
86,【問題】【指定】進化皇帶牌,allenqazws,09/14,00:46,1790,12
87,【閒聊】推し一下動畫的アンドレア老師,WW845752841,09/14,00:04,4363,15
88,【情報】舉辦大賽「Strategy Pick Cup Vol.3」公告,qwert7410100,09/13,19:15,2399,1
89,【討論】大賽 RGW 指定系列盃 Vol.3 五勝分享串(9/2~9/13),KoiKoi1022,09/13,00:14,2716,8
90,【閒聊】幫大忙了! 巴哈姆特!,gtes9860905,09/12,22:27,1397,3
91,【討論】【討論】《極天龍鳴》【巫師】職業相關討論串,frank84921,09/12,10:47,8605,16
92,【討論】【討論】《極天龍鳴》【死靈】職業相關討論串,xdkingxd,09/12,05:50,10k,23
93,【閒聊】太有自信了...,z85122744,09/10,23:53,1767,4
94,【閒聊】啊 抱歉 本來該是我絕望的...,altema,09/09,15:36,3162,6
95,【攻略】可愛有料,allen880308,09/08,14:08,3253,11
96,【討論】《極天龍鳴》【皇家護衛】職業相關討論串,exiagn0001,09/08,08:17,27k,47
97,本討論串已無文章,Aa33163133,09/06,19:37,1714,18
98,【問題】PC端 畫面割裂,asssasssas,09/06,13:42,962,2
99,【心得】好玩遊戲每天都要玩,s5555432,09/05,12:13,8849,313
100,【閒聊】關於活動的不破壞邪惡之眼獲勝條件,jhonson0218,09/03,08:34,5222,26
101,【曬卡】第25彈卡包《極天龍鳴》 卡包分享串,Aa33163133,09/02,22:33,7747,57
102,【問題】太古時代回鍋,t0953576280,09/02,20:28,1882,14
103,本討論串已無文章,gj1203,09/02,12:31,52,3
104,【攻略】吉伊卡哇高級盤面解謎解法,p70984232,09/01,23:44,3165,3
105,本討論串已無文章,Vice1412,09/01,12:17,13,0
106,【攻略】【我ㄉ腦花30塊】吉伊卡哇合作 盤面解謎影片攻略（附時間軸）,Vice1412,09/01,12:15,5821,3
107,【問題】遊戲運作不用顯卡造成卡頓,aaa95135,08/31,19:36,770,5
108,『同人』水手服鹿妹,Vice1412,08/31,15:10,3736,14
109,【其他】新☆首抽集中串，要問開局的朋友歡迎詢問。★新手請一定要詳閱頂樓☆,joy1020368,08/31,14:21,1966k,12k
110,【攻略】無限制全職業牌組統整攻略(完工，等下版本有無變動),e08310831,08/31,05:56,14k,50
111,【閒聊】最近指定的妖精都是拉緹卡妖,Aa33163133,08/30,23:30,3282,20
112,【討論】【討論】《極天龍鳴》【龍族】職業相關討論串,ejfarn0736,08/30,14:29,23k,33
113,【心得】【新手向】精靈新手de資源管理入門課--手把手教你如何玩好指定T1牌組【斬擊雪華妖】,Liujohnny,08/28,23:29,14k,32
114,【攻略】【RGW指定制】我的土法論文(5F新增:極限賽優勝構築),KoiKoi1022,08/28,21:56,5023,20
115,【討論】【JCG讓我康康】奧契絲和共鳴男女的強強聯合？8/24 JCG 指定模式預選賽資料整理,Vice1412,08/28,20:16,1301,2
116,【閒聊】我現在什麼都不想做只想看22話...  真是太好看了!,ufolove,08/28,19:52,6412,17
117,【心得】艾莉卡最後的榮光！協作進化皇極限賽8-0優勝分享,gh985203,08/28,18:06,3914,14
118,本討論串已無文章,u14128,08/28,16:53,120,0
119,本討論串已無文章,erian25,08/28,12:24,46,3
120,那個被人遺忘的金幣（更新金幣皇爬分日記 間奏2）,cwcscx123,08/27,09:09,7347,40
121,【心得】天象旅籠篇 最終章討論串(欸不是你劇情不能斷在這裡,ng0235756789,08/25,03:51,10k,42
122,【問題】倒吊人是不是有bug,hank1010307,08/24,14:59,1901,3
123,【閒聊】菜雞互啄！鎖血鎖到底險勝棄牌吸！,poillookk,08/24,13:49,1510,4
124,【問題】新手詢問～,Yut235417,08/23,11:45,1933,17
125,【問題】請教一下各位，黑銀之巴哈姆特初版和再版有甚麼分別？,leung8277,08/22,21:16,2341,13
126,【情報】「RGW 極限賽：指定系列」登場公告,henry0731,08/22,11:37,3847,23
127,本討論串已無文章,henry0731,08/22,11:29,121,1
128,【閒聊】跟鬼一樣,altema,08/21,14:56,2866,2
129,本討論串已無文章,ibond1234,08/21,13:49,130,1
130,【心得】【RGW指定】與薔薇的鋼鐵之約—莫諾吸心得(8/21 3F DLC小更新),kagerou0127,08/21,12:38,4356,5
131,【問題】現在版本的暫用牌組兌換,lucky110094,08/20,21:31,1757,6
132,【閒聊】超耐久戰鬥,altema,08/20,18:58,1207,0
133,【攻略】【我ㄉ腦花30塊】闇影詩章F 第4次盤面解謎影片攻略（附時間軸）,Vice1412,08/20,13:27,2393,0
134,本討論串已無文章,gk9841215,08/20,11:27,94,1
135,"【問題】關於""進行帳號連動""任務無法完成",s80430639,08/20,03:36,655,3
136,【問題】steam版進不去,GamelifeZERO,08/19,14:32,628,2
137,【問題】劇情好像有點規律,skythfeather,08/19,10:45,1765,3
138,【問題】關於跳費,kevin633,08/19,10:36,1503,4
139,8/18  20:00 DLC 改版抽抽測牌 極天龍鳴 闇影詩章Shadowverse【天使Vtuber小雪Yukichan】,aa85112,08/18,20:00,40k,139
140,【討論】改版後不支援Android 5.0了,SuperGamer,08/18,19:36,1356,6
141,ScarletVice丨RGW擴充卡包丨新卡不負責任評價影片合集,Vice1412,08/18,13:43,2513,5
142,【情報】第25彈DLC追加卡包《極天龍鳴》情報公開〈全卡釋出更新完畢〉,qwe50188,08/18,11:09,79k,196
143,【閒聊】[關台]8/18  SV公務員打卡日常 深夜的新牌雜談,sunsheep,08/18,01:17,43k,88
144,本討論串已無文章,Vice1412,08/17,18:49,1413,3
145,【心得】土印決賽優勝，心得與分享,ssss91268sss,08/16,22:51,1422,2
146,【閒聊】給我更多的500,qwert7410100,08/16,22:40,3032,24
147,【心得】幽靈之下人人平等，死靈公道伯教你實現社會正義。大幽靈死心得分享,joe711080,08/16,21:29,7543,33
148,本討論串已無文章,Vice1412,08/16,19:25,1350,0
149,【閒聊】鹹魚對決,hatsuseizuna,08/16,18:16,903,1
150,【討論】【討論】《極天龍鳴》【復仇者】職業相關討論串,den0012418,08/16,13:02,16k,25
151,【問題】有關神器鳴動的問題,poinddt,08/15,18:16,3116,32
152,【討論】大賽 RGW 指定系列盃 Vol.2 五勝分享串(8/7~8/18),GamelifeZERO,08/15,16:57,2603,7
153,【問題】有什麼方法可以懲罰棄牌吸,VQX860825,08/14,12:22,5462,29
154,【情報】7月26號卡片能力變更(龍族buff、無限復仇限卡),VQX860825,08/13,17:43,19k,86
155,【娛樂牌】一言不合就現場印卡 - 無限制倒吊妖,poinddt,08/12,19:07,4217,13
156,【問題】我想組這套，新手求助,M750211,08/12,00:37,4085,57
157,【討論】【JCG讓我康康】環境泛泛，黑馬奪冠？8/7 JCG 指定模式預選賽資料整理,Vice1412,08/11,21:16,900,6
158,【問題】有人今天也一直斷線嗎,whitemoon325,08/11,20:55,1006,13
159,【討論】能盡可能將牌序影響降到最低的無限制牌組？,SuperGamer,08/11,09:05,2468,21
160,【情報】第25彈卡包《極天龍鳴》情報公開,WLO1908478,08/09,00:48,192k,78
161,【問題】通行證購買疑問,zx920824,08/08,02:55,1755,8
162,【問題】回鍋資源賭錯怎麼辦,xdkingxd,08/07,04:53,6565,52
163,【問題】關於安穩的降臨這張卡,lucky110094,08/06,19:22,2566,6
164,【討論】動畫18、19吸血鬼假卡,wolf2994,08/06,17:57,2619,21
165,【閒聊】比較有趣的莫諾鬼斬殺題,ho89609,08/04,21:31,2630,7
166,【心得】【無限制】載具星爆皇 砍卡後2日急速爬分上GM之旅,a7732871,08/04,16:17,5857,29
167,【討論】RGW無限制大賽A組串,qwert7410100,08/04,12:39,3507,8
168,【心得】無限制土印指南(文長慎入),knuckleswae,08/03,17:39,2005,7
169,【問題】無限制的瞬念妖感覺很有料,Aa33163133,08/03,16:49,1446,4
170,【討論】當同時骰到從者 + 法術 + 抽卡任務時，各位會開哪副牌組來解？,SuperGamer,08/03,07:58,1051,6
171,【討論】男女慘（活）遭（該）被削弱！環境將何去何從？ 7/30 JCG 無限制模式預選賽資料整理,Vice1412,08/02,22:41,2223,0
172,【閒聊】無限制棄牌吸的上限還真是可怕,SuperGamer,08/01,08:45,6755,18
173,【情報】SHADOWVERSE EVOLVE新聯動補充包《賽馬娘Pretty Derby》新卡情報串,dtes94105,07/30,19:03,7277,10
174,【情報】貓腳印-新莊店 SVE二彈奪盒賽開打! 左等右等貨終於來了(內有比賽細節),happy000999,07/30,15:46,1494,5
175,【情報】2700萬下載突破紀念活動公告,SuperGamer,07/29,21:47,4548,1
176,【情報】薯薯自辦「一費盃」交流賽開放報名囉 2022/7/28 21:00開戰！,b24951402,07/28,04:45,1159,4
177,【問題】想問問大家有同感嗎？,karta1973518,07/27,18:11,1686,10
178,【討論】【JCG讓我康康】群魔亂舞？龍族的靈壓消失了？！7/24 JCG 指定模式預選賽資料整理,Vice1412,07/27,13:45,1254,0
179,本討論串已無文章,liniuan,07/26,12:29,1055,4
180,本討論串已無文章,liniuan,07/26,12:18,15,0
181,本討論串已無文章,liniuan,07/26,11:33,80,0
182,本討論串已無文章,jc920414,07/26,00:48,885,0
183,【RGW指定GM】共鳴乃邪道，人偶當自強 雙軸節奏型人偶復仇者全面分析,Liujohnny,07/25,13:31,3317,12
184,【心得】For Fun向，蹂躪的凶王搭配原始之龍．巴哈姆特的0TK,SuperGamer,07/25,12:02,2284,4
185,【閒聊】來分享你有幾張狗男女,a30865,07/24,01:24,4132,10
186,【情報】イケてたような鹿：推特梗圖，巴哈姆特、超越、復仇、做壞的卡,SuperGamer,07/23,20:59,4267,28
187,【攻略】土法速成,sasamumu,07/23,20:35,3403,13
188,【討論】牌組請益 無限制娛樂 特殊勝利乃芙,ylin0857,07/23,16:57,1502,10
189,【心得】無限制GM 超越心得 (5樓更新極天龍鳴版本構築),henry0731,07/22,20:48,11k,15
190,本討論串已無文章,henry0731,07/22,18:29,124,0
191,【情報】シャドウバースF（フレイム）第十五話,coco8221,07/22,17:17,2473,15
192,【問題】相同賽季 指定與無限制GM獎勵詢問,orange927,07/21,20:38,1037,3
193,【問題】請問有什麼牌組能克制復仇的,leoOOO,07/21,17:00,4536,27
194,首篇已刪,hayashitn,07/20,16:58,1076,6
195,【心得】(跳費無盡龍) 不夠怎麼辦?再疊啊,darkness8803,07/20,16:54,1460,0
196,【情報】7/24起  MagicStar Shadowverse EVOLVE實卡交流賽,rgundam2003,07/18,15:45,4711,18
197,【討論】請教針對快攻死靈和二次元無限開門巫師,Thekiss,07/17,13:31,2842,23
198,【問題】6周年主線主戰的卡背到底是哪個？,henry920920,07/15,14:14,4146,4
199,【攻略】【LTC】優開共鳴仇不是夢想，RGW進化吸解密,abcs4587888,07/14,18:52,4857,20
200,【心得】絕望的萬里長城 無限制死冥拉拉死,poillookk,07/14,14:50,4584,12
201,【討論】來點沒營養的DLC卡片推測 (根據動畫版 NS版的剩餘卡片整理),qwe50188,07/13,14:50,3098,26
202,【問題】新手疑問,sd7844226,07/13,14:08,1361,35
203,【問題】古董回鍋,w0989422342,07/12,17:14,1889,6
204,【閒聊】退休的女帝 涅蕾雅,love0zxc,07/12,04:55,5209,8
205,【問題】連動密碼,amos0316,07/11,23:33,1094,12
206,【控制型破魔蟲精靈】 傷害表&注意事項 懶人包,kevinchang07,07/11,18:39,4434,15
207,【心得】《黑銀的巴哈姆特》系列牌組分享,evildark,07/11,14:25,2487,9
208,大家最喜歡的虹卡法術是什麼,KK00002,07/11,11:45,5103,28
209,本討論串已無文章,a23075895,07/10,23:56,8,0
210,【情報】シャドウバースF（フレイム）第十四話,a4924567,07/10,12:55,1536,0
211,【攻略】(RGW)狂亂吸GM攻略之確診蝙蝠篇（各職對局處理完成）,cool60718,07/10,00:27,4289,17
212,【討論】【動畫】「シャドウバースF」從op片段推測,mich1qazxcv,07/09,20:43,1167,1
213,【心得】<推薦牌組> 兩天共十小時左右從AA1快到AA2爬上M,ikrusfrank,07/09,18:01,2332,15
214,【情報】搬運，6周年主戰,hktopy888,07/09,13:37,20k,120
215,【問題pick2只剩復仇者嗎?,qaeer228,07/09,12:22,1981,8
216,【問題】關於寶箱,kevin633,07/09,00:22,1368,7
217,【討論】六週年 中立復刻或八職主戰投票 集中串,kbg0724,07/08,02:45,20k,160
218,【其他】請問這是什麼?,kevinchang07,07/07,19:08,5527,12
219,【問題】寶箱機制,mn040210,07/07,10:43,2381,10
220,【心得】土法的土印傷害轉化是不是有點超過,heigo0123,07/07,01:08,5903,54
221,【問題】關於evo規則問題,paralleoex,07/06,19:37,1366,5
222,【心得】【ROG指定制】在極天龍鳴的環境 開創出清澄的蒼藍 (巴哈控法介紹+二姐感謝文),KoiKoi1022,07/06,00:11,3373,10
223,【閒聊】【開箱】SVE開盒 shadowverse evolve 黑銀的巴哈姆特【天使Vtuber小雪Yukichan】,aa85112,07/05,16:53,1214,3
224,【閒聊】極天龍鳴...目前看來是復仇者的時代,chs7788999,07/05,12:25,8516,36
225,【心得】極龍天鳴 無限制共鳴造物仇心得,gamemike,07/05,11:29,3358,9
226,【情報】7月6號卡片能力更動,kagerou0127,07/04,18:06,14k,168
227,【心得】指定7成勝率”清泉“人偶仇上GM牌組分享,QWE655123,07/04,16:27,3493,11
228,【閒聊】現在是不是又要注意不能隨便把血鬼打進復仇了？,ho328,07/04,11:31,2828,3
229,【討論】來蓋一個燒腦樓,jw1214,07/03,21:38,41k,80
230,【情報】シャドウバースF（フレイム）第十三話,a4924567,07/03,20:10,1607,13
231,【實驗】卡牌稀有度逆轉計畫 -《下剋上失敗》,poinddt,07/03,18:24,28k,50
232,【問題】目前環境是不是最惡質的版本了?,khamrai,07/03,17:05,18k,140
233,【討論】《極天龍鳴》 人偶快仇脫離AA苦海 上M心得,WoolenJerry,07/03,00:21,3049,15
234,【攻略】【我ㄉ腦花30塊】闇影詩章F 第3次盤面解謎影片攻略（附時間軸）,Vice1412,07/02,10:35,1995,0
235,【心得】高級解謎,azxsdcvfr,07/02,10:26,1388,1
236,【攻略】盤面解謎全解答,ssss91268sss,07/02,10:22,1585,1
237,【其他】明明是要悼念二姐的失利，結果變成在畫愛蓮娜，害我都不知道標題該怎麼寫,Vice1412,07/01,20:37,1404,4
238,【問題】有關《災禍模式》這張卡,Lanjing,07/01,16:53,1916,17
239,【問題】不好意思 小弟目前沒有組牌方向，可以請大家給我個建議嗎？,zz42859579,07/01,08:13,1425,8
240,【問題】帳號不見了,QWERt370,07/01,00:54,572,3
241,【心得】推薦的新主線劇情,TBMHS,06/30,23:33,1494,11
242,首篇已刪,hayashitn,06/30,21:58,1948,13
243,【情報】任務變更：使任務更容易達成，不再追加以特定職業獲得勝利的任務,SuperGamer,06/30,12:37,10k,34
244,【問題】關於龍金卡蜥蜴的吐息增傷減傷計算方法?,asia3310,06/30,02:31,2104,10
245,【問題】已更換連動任務了,kkoo3123,06/29,21:25,1814,4
246,【討論】《極天龍鳴》指定Low仇~與你low到世界盡頭~,VQX860825,06/29,07:26,3366,0
247,【28/6更新 極天龍鳴10連勝構築】掏出不弑老爺的重裝狙擊槍，享受一槍20爆頭的快感！控制精靈思路,Lsdon,06/28,22:45,14k,92
248,[回鍋健檢] 詢問死靈法師組法,Melody851069,06/28,20:45,1719,17
249,【討論】這會是新版本的潮流嗎？,krazien,06/28,19:23,4410,9
250,【問題】請問可以每個職業都練嗎?,abbie1219,06/28,17:54,2509,18
251,【問題】六週年必中主戰包,kevinchang07,06/28,15:42,12k,81
252,【討論】極天竜鳴新環境牌組預想！,Ajadalintw,06/28,09:14,7640,29
253,【其他】記得私人10次的任務要找不同人打,scli08235381,06/27,23:50,2968,4
254,【繪圖】桃樂絲無慘(?,ly369,06/27,23:01,5895,23
255,【討論】all star 2pick牌組分享集中串,Wolf14191933,06/27,22:56,9036,73
256,本討論串已無文章,wing2120012,06/27,22:01,11,0
257,【問題】【討論】極天龍鳴-用唯我在新環境殺出血路,f41009tw,06/27,20:48,1527,4
258,【討論】大家希望下一個合作會是什麼,jason518135,06/27,20:34,10k,62
259,【問題】入坑,as36732385,06/27,20:07,2999,11
260,【討論】6th Anniversary 免費560連抽以及6次必主戰者包結果參考,SuperGamer,06/27,14:21,5093,20
261,【情報】對戰通行證【Season 8】登場公告,cpuiho123456,06/26,22:08,6836,16
262,首篇已刪,hayashitn,06/26,16:15,1951,22
263,【討論】因於一定時間內多次輸入用戶ID與密碼，此功能已被限制,SuperGamer,06/26,12:01,1998,5
264,【心得】【曬卡】第24彈卡包《天象樂土》 卡包分享串,gary61413,06/26,11:27,12k,60
265,【心得】【EOP無限制】阿姨我不想要手牌了──無限制棄牌吸GM(4/2獵鬼牌組出沒中),edward561287,06/26,10:52,10k,24
266,【情報】Shadowverse EVOLVE新卡預覽：黑銀的巴哈姆特,dtes94105,06/25,21:02,55k,55
267,【討論】《天象樂土》龍族職業相關討論串,k8365a1q23,06/25,16:25,21k,34
268,【情報】シャドウバースF（フレイム）第十二話討論區,rtmax,06/25,11:08,4679,18
269,【問題】請問為什麼會抽到拜狄主戰者？,hayashitn,06/25,10:32,3605,11
270,【心得】全明星賽大賽最強選手應該是千花？,ddtr2300,06/25,10:26,3928,10
271,【問題】快..快...這池就快解脫了,A2619100,06/24,20:33,6187,23
272,【心得】雙子死心得,Wer009,06/24,20:29,2717,14
273,【情報】狂賀，寬容被砍了,LOVE2u31241,06/24,18:48,35k,237
274,【其他】會抽到當期沒有的異畫?,qoo258147,06/24,15:37,3678,11
275,【問題】我是剛才有發文詢問的回鍋玩家 請求各位健檢,zz42859579,06/24,14:21,1837,27
276,【問題】回鍋玩家請求各位大大給點我意見 感謝你們！！,ssss91268sss,06/24,14:07,1826,27
277,【心得】不會日文也行！「快速找人刷房」法（刷2000金）,f79694,06/22,22:42,130k,123
278,【閒聊】新手入坑 20場私人對戰任務,cpuiho123456,06/22,18:49,987,2
279,【討論】【ScarletVice】新卡不負責任評價,Vice1412,06/22,18:16,11k,33
280,【情報】第24彈卡包《天象樂土》情報公開,hayashitn,06/22,17:09,105k,54
281,【心得】過期牌組心得 雙職業模式 法/皇,altema,06/22,13:52,954,0
282,【閒聊】6th Anniversary 10包免費活動公告,s29589835,06/22,12:22,14k,19
283,【問題】我只是想組牌,Isolator1006,06/22,11:26,1866,4
284,本討論串已無文章,rmpsr73113,06/22,04:27,5,0
285,【問題】現在適合回鍋嗎?退坑兩年多的小新手,df0909663,06/21,14:06,4236,13
286,本討論串已無文章,chuan5923,06/21,05:56,3146,12
287,【閒聊】次元魔女．無盡巫師．次元超越．桃樂絲聲優－木戶衣吹,acceler1213,06/20,22:28,3222,12
288,【問題】請問這樣的情況有可能嗎,ShinnuNise,06/20,17:53,4483,11
289,【心得】王國歸還篇,digimon10011,06/19,21:35,4701,16
290,本討論串已無文章,tabigarasu,06/19,18:41,42,3
291,【心得】《天象樂土》指定唯我龍上GM - 前期想拿到 後期想丟掉,f41009tw,06/19,14:19,3374,10
292,【問題】金幣買卡包,ameast99,06/18,22:54,3088,14
293,【心得】屁股龍心得,a77090781,06/18,20:09,3698,24
294,【情報】闇影詩章 6 週年訪談 部分翻譯,cool60718,06/18,16:21,4596,29
295,首篇已刪,hayashitn,06/18,13:13,458,1
296,【討論】私人對戰 第四回合抽死神結束的無限制龍,deh8ha,06/18,12:13,2106,20
297,本討論串已無文章,Tinghong04,06/18,11:28,84,0
298,【討論】這次居然有卡背送,Homuhomadoka,06/18,10:50,2660,4
299,首篇已刪,hayashitn,06/18,09:42,3003,15
300,【問題】登入卡住,chao0630,06/17,11:25,890,9
301,【問題】關於次元石,Jimmy3250,06/16,17:06,4313,50
302,【情報】シャドウバースF（フレイム）第十一話,coco8221,06/16,17:01,2081,9
303,【閒聊】卡牌遊戲雜談與主線吐槽,patrickoao,06/16,09:59,5574,47
304,【情報】舉辦大賽「6th Anniversary Cup」公告,qwert7410100,06/14,23:51,6809,7
305,【情報】「RAGE Shadowverse 2022 Summer GRAND FINALS」冠軍預測活動,SuperGamer,06/14,19:11,2425,0
306,【討論】新人求新手影片可以推薦嗎，話說主教怎麼這麼好玩,sky3845381nm,06/14,13:21,3646,15
307,【討論】EOP指定系列盃Vol.2：5勝串(づ′・ω・）づ,linbrian9498,06/13,00:37,2983,11
308,【其他】意外發現日本正式比賽的某場精華節錄,jafferduo,06/11,14:38,4084,12
309,【閒聊】關於阿爾貝爾和尤里烏斯之間的愛恨情仇(卡片文本篇),spirit1029,06/10,20:05,8351,15
